Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-09-22,0,0,0,0
2020-09-23,0,0,0,0
2020-09-24,0,0,0,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,0,0,0
2020-09-28,0,0,0,0
2020-09-29,0,0,0,0
2020-09-30,0,0,0,0
2020-10-01,0,0,0,0
2020-10-02,0,0,0,0
2020-10-03,0,0,0,0
2020-10-04,0,0,0,0
2020-10-05,0,0,0,0
2020-10-06,0,0,0,0
2020-10-07,0,0,0,0
2020-10-08,0,0,0,0
2020-10-09,0,0,0,0
2020-10-10,0,0,0,0
2020-10-11,0,0,0,0
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,0,0,0,0
2020-10-16,0,0,0,0
2020-10-17,0,0,0,0
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,0,0,0,0
2020-10-23,1,1,0,0
2020-10-24,14,14,0,0
2020-10-25,24,24,0,0
2020-10-26,10,10,0,0
2020-10-27,12,12,0,0
2020-10-28,4,4,0,0
2020-10-29,14,14,0,0
2020-10-30,19,19,0,0
2020-10-31,23,23,0,0
2020-11-01,19,19,0,0
2020-11-02,8,8,0,0
2020-11-03,15,15,0,0
2020-11-04,13,13,0,0
2020-11-05,10,10,0,0
2020-11-06,12,12,0,0
2020-11-07,24,24,0,0
2020-11-08,22,22,0,0
2020-11-09,20,20,0,0
2020-11-10,19,19,0,0
2020-11-11,20,20,0,0
2020-11-12,28,28,0,0
2020-11-13,18,18,0,0
2020-11-14,36,36,0,0
2020-11-15,24,24,0,0
2020-11-16,9,9,0,0
2020-11-17,19,19,0,0
2020-11-18,18,18,0,0
2020-11-19,25,25,0,0
2020-11-20,13,13,0,0
2020-11-21,16,16,0,0
2020-11-22,14,14,0,0
2020-11-23,11,11,0,0
2020-11-24,14,14,0,0
2020-11-25,17,17,0,0
2020-11-26,16,16,0,0
2020-11-27,13,13,0,0
2020-11-28,11,11,0,0
2020-11-29,18,18,0,0
2020-11-30,21,23,2,0
2020-12-01,20,22,2,0
