Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-09-22,0,0,0,0
2020-09-23,0,0,0,0
2020-09-24,0,0,0,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,0,0,0
2020-09-28,0,0,0,0
2020-09-29,0,0,0,0
2020-09-30,0,0,0,0
2020-10-01,0,0,0,0
2020-10-02,0,0,0,0
2020-10-03,0,0,0,0
2020-10-04,0,0,0,0
2020-10-05,0,0,0,0
2020-10-06,0,0,0,0
2020-10-07,0,0,0,0
2020-10-08,0,0,0,0
2020-10-09,0,0,0,0
2020-10-10,0,0,0,0
2020-10-11,0,0,0,0
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,0,0,0,0
2020-10-16,0,0,0,0
2020-10-17,0,0,0,0
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,0,0,0,0
2020-10-23,1,1,0,0
2020-10-24,26,26,0,0
2020-10-25,43,43,0,0
2020-10-26,24,24,0,0
2020-10-27,26,26,0,0
2020-10-28,15,15,0,0
2020-10-29,33,33,0,0
2020-10-30,58,58,0,0
2020-10-31,35,35,0,0
2020-11-01,27,27,0,0
2020-11-02,21,21,0,0
2020-11-03,45,45,0,0
2020-11-04,24,24,0,0
2020-11-05,29,29,0,0
2020-11-06,15,15,0,0
2020-11-07,50,50,0,0
2020-11-08,30,30,0,0
2020-11-09,46,46,0,0
2020-11-10,75,75,0,0
2020-11-11,51,51,0,0
2020-11-12,32,32,0,0
2020-11-13,32,32,0,0
2020-11-14,25,25,0,0
2020-11-15,27,27,0,0
2020-11-16,16,16,0,0
2020-11-17,8,8,0,0
2020-11-18,19,19,0,0
2020-11-19,22,22,0,0
2020-11-20,17,17,0,0
2020-11-21,21,21,0,0
2020-11-22,17,17,0,0
2020-11-23,16,16,0,0
2020-11-24,24,24,0,0
2020-11-25,18,18,0,0
2020-11-26,16,16,0,0
2020-11-27,20,20,0,0
2020-11-28,22,22,0,0
2020-11-29,33,33,0,0
2020-11-30,12,13,1,0
2020-12-01,12,14,2,0
