Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-09-22,0,0,0,0
2020-09-23,0,0,0,0
2020-09-24,0,0,0,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,0,0,0
2020-09-28,0,0,0,0
2020-09-29,0,0,0,0
2020-09-30,0,0,0,0
2020-10-01,0,0,0,0
2020-10-02,0,0,0,0
2020-10-03,0,0,0,0
2020-10-04,0,0,0,0
2020-10-05,0,0,0,0
2020-10-06,0,0,0,0
2020-10-07,0,0,0,0
2020-10-08,0,0,0,0
2020-10-09,0,0,0,0
2020-10-10,0,0,0,0
2020-10-11,0,0,0,0
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,0,0,0,0
2020-10-16,0,0,0,0
2020-10-17,0,0,0,0
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,0,0,0,0
2020-10-23,1,1,0,0
2020-10-24,49,49,0,0
2020-10-25,61,61,0,0
2020-10-26,37,37,0,0
2020-10-27,53,53,0,0
2020-10-28,27,27,0,0
2020-10-29,22,22,0,0
2020-10-30,25,25,0,0
2020-10-31,65,65,0,0
2020-11-01,51,51,0,0
2020-11-02,39,39,0,0
2020-11-03,20,20,0,0
2020-11-04,31,31,0,0
2020-11-05,35,35,0,0
2020-11-06,36,36,0,0
2020-11-07,57,57,0,0
2020-11-08,54,54,0,0
2020-11-09,42,42,0,0
2020-11-10,39,39,0,0
2020-11-11,40,40,0,0
2020-11-12,19,19,0,0
2020-11-13,42,42,0,0
2020-11-14,34,34,0,0
2020-11-15,46,46,0,0
2020-11-16,23,23,0,0
2020-11-17,14,14,0,0
2020-11-18,23,23,0,0
2020-11-19,39,39,0,0
2020-11-20,25,25,0,0
2020-11-21,36,36,0,0
2020-11-22,25,25,0,0
2020-11-23,38,38,0,0
2020-11-24,23,23,0,0
2020-11-25,26,26,0,0
2020-11-26,22,22,0,0
2020-11-27,24,24,0,0
2020-11-28,24,24,0,0
2020-11-29,50,50,0,0
2020-11-30,28,31,3,0
2020-12-01,29,35,6,0
