Date,Net Clicks,Install Clicks,Uninstall Clicks
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0,0,0
2020-10-08,0,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,0,0
2020-10-13,0,0,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0,0,0
2020-10-22,0,0,0
2020-10-23,1,1,0
2020-10-24,5,5,0
2020-10-25,11,11,0
2020-10-26,4,4,0
2020-10-27,5,5,0
2020-10-28,3,3,0
2020-10-29,4,4,0
2020-10-30,16,16,0
2020-10-31,8,8,0
2020-11-01,11,11,0
2020-11-02,13,13,0
2020-11-03,9,9,0
2020-11-04,8,8,0
2020-11-05,6,6,0
2020-11-06,6,6,0
2020-11-07,16,16,0
2020-11-08,13,13,0
2020-11-09,10,10,0
2020-11-10,11,11,0
2020-11-11,9,9,0
2020-11-12,21,21,0
2020-11-13,17,17,0
2020-11-14,17,17,0
2020-11-15,12,12,0
2020-11-16,4,4,0
2020-11-17,5,5,0
2020-11-18,14,14,0
2020-11-19,10,10,0
2020-11-20,9,9,0
2020-11-21,17,17,0
2020-11-22,10,10,0
2020-11-23,12,12,0
2020-11-24,10,10,0
2020-11-25,9,9,0
2020-11-26,8,8,0
2020-11-27,7,7,0
2020-11-28,7,7,0
2020-11-29,7,7,0
2020-11-30,11,12,1
2020-12-01,4,6,2
2020-12-02,3,4,1
2020-12-03,5,7,2
2020-12-04,7,9,2
2020-12-05,10,14,4
2020-12-06,10,11,1
2020-12-07,8,9,1
2020-12-08,7,7,0
2020-12-09,11,12,1
2020-12-10,9,11,2
2020-12-11,3,7,4
2020-12-12,8,12,4
2020-12-13,14,17,3
2020-12-14,2,4,2
2020-12-15,3,4,1
2020-12-16,14,14,0
2020-12-17,6,7,1
2020-12-18,5,5,0
2020-12-19,5,6,1
2020-12-20,7,8,1
2020-12-21,9,9,0
2020-12-22,9,11,2
2020-12-23,7,7,0
2020-12-24,7,8,1
2020-12-25,24,25,1
2020-12-26,19,21,2
2020-12-27,10,13,3
2020-12-28,17,18,1
2020-12-29,25,27,2
2020-12-30,13,14,1
2020-12-31,14,15,1
2021-01-01,12,13,1
2021-01-02,16,17,1
2021-01-03,7,11,4
2021-01-04,22,24,2
2021-01-05,7,9,2
2021-01-06,12,13,1
2021-01-07,18,25,7
2021-01-08,13,13,0
2021-01-09,16,17,1
2021-01-10,14,15,1
2021-01-11,9,11,2
2021-01-12,17,18,1
2021-01-13,11,13,2
2021-01-14,16,17,1
2021-01-15,12,13,1
2021-01-16,13,15,2
2021-01-17,19,20,1
2021-01-18,15,16,1
2021-01-19,22,25,3
2021-01-20,11,12,1
2021-01-21,11,12,1
2021-01-22,11,12,1
2021-01-23,12,17,5
2021-01-24,16,21,5
2021-01-25,11,13,2
2021-01-26,8,10,2
2021-01-27,7,8,1
2021-01-28,14,16,2
2021-01-29,12,14,2
2021-01-30,14,18,4
2021-01-31,17,19,2
2021-02-01,15,16,1
2021-02-02,28,33,5
2021-02-03,14,18,4
2021-02-04,10,12,2
2021-02-05,10,11,1
2021-02-06,21,24,3
2021-02-07,16,16,0
2021-02-08,13,15,2
2021-02-09,15,23,8
2021-02-10,9,17,8
2021-02-11,9,19,10
2021-02-12,6,13,7
2021-02-13,10,40,30
2021-02-14,15,55,40
2021-02-15,16,52,36
2021-02-16,33,63,30
2021-02-17,20,59,39
2021-02-18,22,64,42
2021-02-19,18,37,19
2021-02-20,18,29,11
2021-02-21,10,22,12
2021-02-22,7,13,6
2021-02-23,15,22,7
2021-02-24,13,38,25
2021-02-25,11,45,34
2021-02-26,10,21,11
2021-02-27,13,31,18
2021-02-28,14,37,23
2021-03-01,12,23,11
2021-03-02,8,17,9
2021-03-03,9,15,6
2021-03-04,7,15,8
2021-03-05,8,19,11
2021-03-06,15,40,25
2021-03-07,8,44,36
2021-03-08,8,33,25
2021-03-09,7,29,22
2021-03-10,7,23,16
2021-03-11,8,18,10
2021-03-12,11,19,8
2021-03-13,9,26,17
2021-03-14,12,21,9
2021-03-15,17,24,7
2021-03-16,7,14,7
2021-03-17,10,15,5
2021-03-18,8,14,6
2021-03-19,7,14,7
2021-03-20,14,17,3
2021-03-21,12,20,8
2021-03-22,5,5,0
2021-03-23,14,17,3
2021-03-24,9,15,6
2021-03-25,10,15,5
2021-03-26,12,16,4
2021-03-27,10,15,5
2021-03-28,8,13,5
2021-03-29,4,8,4
2021-03-30,4,5,1
2021-03-31,17,23,6
2021-04-01,8,9,1
2021-04-02,13,16,3
2021-04-03,3,5,2
2021-04-04,9,12,3
2021-04-05,6,6,0
2021-04-06,7,11,4
2021-04-07,6,8,2
2021-04-08,15,17,2
2021-04-09,11,16,5
2021-04-10,9,11,2
