Date,Net Clicks,Install Clicks,Uninstall Clicks
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0,0,0
2020-10-08,0,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,0,0
2020-10-13,0,0,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0,0,0
2020-10-22,0,0,0
2020-10-23,1,1,0
2020-10-24,57,57,0
2020-10-25,67,67,0
2020-10-26,58,58,0
2020-10-27,72,72,0
2020-10-28,60,60,0
2020-10-29,83,83,0
2020-10-30,45,45,0
2020-10-31,68,68,0
2020-11-01,48,48,0
2020-11-02,32,32,0
2020-11-03,47,47,0
2020-11-04,29,29,0
2020-11-05,31,31,0
2020-11-06,26,26,0
2020-11-07,45,45,0
2020-11-08,50,50,0
2020-11-09,30,30,0
2020-11-10,42,42,0
2020-11-11,31,31,0
2020-11-12,24,24,0
2020-11-13,41,41,0
2020-11-14,47,47,0
2020-11-15,26,26,0
2020-11-16,32,32,0
2020-11-17,34,34,0
2020-11-18,32,32,0
2020-11-19,34,34,0
2020-11-20,22,22,0
2020-11-21,23,23,0
2020-11-22,38,38,0
2020-11-23,39,39,0
2020-11-24,38,38,0
2020-11-25,28,28,0
2020-11-26,32,32,0
2020-11-27,37,37,0
2020-11-28,47,47,0
2020-11-29,45,45,0
2020-11-30,33,34,1
2020-12-01,42,46,4
2020-12-02,43,47,4
2020-12-03,31,34,3
2020-12-04,41,46,5
2020-12-05,53,57,4
2020-12-06,43,47,4
2020-12-07,30,36,6
2020-12-08,40,44,4
2020-12-09,46,50,4
2020-12-10,41,46,5
2020-12-11,39,50,11
2020-12-12,46,52,6
2020-12-13,57,62,5
2020-12-14,37,42,5
2020-12-15,37,41,4
2020-12-16,33,38,5
2020-12-17,48,52,4
2020-12-18,30,38,8
2020-12-19,49,64,15
2020-12-20,26,27,1
2020-12-21,54,57,3
2020-12-22,46,51,5
2020-12-23,45,52,7
2020-12-24,63,70,7
2020-12-25,139,154,15
2020-12-26,98,111,13
2020-12-27,84,92,8
2020-12-28,93,107,14
2020-12-29,90,100,10
2020-12-30,89,95,6
2020-12-31,81,91,10
2021-01-01,68,76,8
2021-01-02,57,71,14
2021-01-03,72,81,9
2021-01-04,67,73,6
2021-01-05,75,81,6
2021-01-06,78,89,11
2021-01-07,57,77,20
2021-01-08,67,83,16
2021-01-09,84,94,10
2021-01-10,78,88,10
2021-01-11,71,75,4
2021-01-12,48,55,7
2021-01-13,57,69,12
2021-01-14,59,65,6
2021-01-15,56,69,13
2021-01-16,61,70,9
2021-01-17,60,68,8
2021-01-18,62,70,8
2021-01-19,48,63,15
2021-01-20,48,55,7
2021-01-21,64,75,11
2021-01-22,51,59,8
2021-01-23,71,78,7
2021-01-24,63,72,9
2021-01-25,54,57,3
2021-01-26,58,65,7
2021-01-27,72,75,3
2021-01-28,71,74,3
2021-01-29,55,64,9
2021-01-30,56,67,11
2021-01-31,80,91,11
2021-02-01,52,57,5
2021-02-02,57,65,8
2021-02-03,49,56,7
2021-02-04,47,53,6
2021-02-05,72,81,9
2021-02-06,50,63,13
2021-02-07,52,58,6
2021-02-08,56,61,5
2021-02-09,58,72,14
2021-02-10,51,55,4
2021-02-11,52,57,5
2021-02-12,37,45,8
2021-02-13,49,52,3
2021-02-14,50,54,4
2021-02-15,104,138,34
2021-02-16,115,161,46
2021-02-17,109,185,76
2021-02-18,80,248,168
2021-02-19,60,162,102
2021-02-20,69,133,64
2021-02-21,64,123,59
2021-02-22,72,111,39
2021-02-23,54,102,48
2021-02-24,49,79,30
2021-02-25,56,87,31
2021-02-26,54,82,28
2021-02-27,61,91,30
2021-02-28,56,98,42
2021-03-01,58,254,196
2021-03-02,78,178,100
2021-03-03,60,134,74
2021-03-04,55,113,58
2021-03-05,69,119,50
2021-03-06,63,126,63
2021-03-07,54,103,49
2021-03-08,58,104,46
2021-03-09,65,93,28
2021-03-10,48,73,25
2021-03-11,60,88,28
2021-03-12,47,73,26
2021-03-13,60,86,26
2021-03-14,47,87,40
2021-03-15,46,84,38
2021-03-16,53,68,15
2021-03-17,59,76,17
2021-03-18,49,74,25
2021-03-19,76,97,21
2021-03-20,66,118,52
2021-03-21,79,262,183
2021-03-22,54,126,72
2021-03-23,66,103,37
2021-03-24,79,114,35
2021-03-25,57,105,48
2021-03-26,63,93,30
2021-03-27,57,91,34
2021-03-28,55,86,31
2021-03-29,14,45,31
2021-03-30,21,35,14
2021-03-31,49,76,27
2021-04-01,55,73,18
2021-04-02,62,79,17
2021-04-03,62,82,20
2021-04-04,78,90,12
2021-04-05,62,84,22
2021-04-06,54,75,21
2021-04-07,68,165,97
2021-04-08,66,215,149
2021-04-09,72,162,90
2021-04-10,58,142,84
