Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-09-22,0,0,0,0
2020-09-23,0,0,0,0
2020-09-24,0,0,0,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,0,0,0
2020-09-28,0,0,0,0
2020-09-29,0,0,0,0
2020-09-30,0,0,0,0
2020-10-01,0,0,0,0
2020-10-02,0,0,0,0
2020-10-03,0,0,0,0
2020-10-04,0,0,0,0
2020-10-05,0,0,0,0
2020-10-06,0,0,0,0
2020-10-07,0,0,0,0
2020-10-08,0,0,0,0
2020-10-09,0,0,0,0
2020-10-10,0,0,0,0
2020-10-11,0,0,0,0
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,0,0,0,0
2020-10-16,0,0,0,0
2020-10-17,0,0,0,0
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,0,0,0,0
2020-10-23,1,1,0,0
2020-10-24,112,112,0,0
2020-10-25,121,121,0,0
2020-10-26,106,106,0,0
2020-10-27,57,57,0,0
2020-10-28,59,59,0,0
2020-10-29,57,57,0,0
2020-10-30,143,143,0,0
2020-10-31,122,122,0,0
2020-11-01,82,82,0,0
2020-11-02,90,90,0,0
2020-11-03,70,70,0,0
2020-11-04,55,55,0,0
2020-11-05,55,55,0,0
2020-11-06,45,45,0,0
2020-11-07,82,82,0,0
2020-11-08,95,95,0,0
2020-11-09,172,172,0,0
2020-11-10,95,95,0,0
2020-11-11,58,58,0,0
2020-11-12,72,72,0,0
2020-11-13,61,61,0,0
2020-11-14,95,95,0,0
2020-11-15,62,62,0,0
2020-11-16,42,42,0,0
2020-11-17,58,58,0,0
2020-11-18,42,42,0,0
2020-11-19,47,47,0,0
2020-11-20,46,46,0,0
2020-11-21,69,69,0,0
2020-11-22,64,64,0,0
2020-11-23,56,56,0,0
2020-11-24,41,41,0,0
2020-11-25,63,63,0,0
2020-11-26,67,67,0,0
2020-11-27,63,63,0,0
2020-11-28,92,92,0,0
2020-11-29,83,83,0,0
2020-11-30,43,48,5,0
2020-12-01,48,62,14,0
