Date,Net Clicks,Install Clicks,Uninstall Clicks
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0,0,0
2020-10-08,0,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,0,0
2020-10-13,0,0,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0,0,0
2020-10-22,0,0,0
2020-10-23,0,0,0
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,0,0,0
2020-10-27,0,0,0
2020-10-28,0,0,0
2020-10-29,0,0,0
2020-10-30,0,0,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,0,0,0
2020-11-04,0,0,0
2020-11-05,0,0,0
2020-11-06,0,0,0
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,0,0,0
2020-11-10,0,0,0
2020-11-11,0,0,0
2020-11-12,0,0,0
2020-11-13,0,0,0
2020-11-14,0,0,0
2020-11-15,0,0,0
2020-11-16,1,1,0
2020-11-17,17,17,0
2020-11-18,25,25,0
2020-11-19,23,23,0
2020-11-20,22,22,0
2020-11-21,22,22,0
2020-11-22,12,12,0
2020-11-23,12,12,0
2020-11-24,14,14,0
2020-11-25,11,11,0
2020-11-26,13,13,0
2020-11-27,10,10,0
2020-11-28,14,14,0
2020-11-29,21,21,0
2020-11-30,21,21,0
2020-12-01,16,16,0
2020-12-02,25,25,0
2020-12-03,14,14,0
2020-12-04,20,20,0
2020-12-05,28,28,0
2020-12-06,36,36,0
2020-12-07,19,19,0
2020-12-08,29,29,0
2020-12-09,37,37,0
2020-12-10,33,33,0
2020-12-11,45,45,0
2020-12-12,34,34,0
2020-12-13,25,25,0
2020-12-14,19,19,0
2020-12-15,20,20,0
2020-12-16,16,16,0
2020-12-17,32,32,0
2020-12-18,16,16,0
2020-12-19,15,15,0
2020-12-20,35,35,0
2020-12-21,18,18,0
2020-12-22,15,15,0
2020-12-23,23,23,0
2020-12-24,19,19,0
2020-12-25,33,33,0
2020-12-26,47,47,0
2020-12-27,25,25,0
2020-12-28,31,32,1
2020-12-29,31,36,5
2020-12-30,25,28,3
2020-12-31,27,30,3
2021-01-01,23,34,11
2021-01-02,21,28,7
2021-01-03,20,31,11
2021-01-04,10,20,10
2021-01-05,16,27,11
2021-01-06,15,25,10
2021-01-07,18,28,10
2021-01-08,26,33,7
2021-01-09,18,22,4
2021-01-10,20,28,8
2021-01-11,22,24,2
2021-01-12,17,20,3
2021-01-13,21,23,2
2021-01-14,25,27,2
2021-01-15,17,20,3
2021-01-16,21,24,3
2021-01-17,26,33,7
2021-01-18,12,17,5
2021-01-19,20,22,2
2021-01-20,22,29,7
2021-01-21,21,24,3
2021-01-22,24,33,9
2021-01-23,13,20,7
2021-01-24,24,27,3
2021-01-25,20,24,4
2021-01-26,9,22,13
2021-01-27,17,22,5
2021-01-28,18,23,5
2021-01-29,23,30,7
2021-01-30,26,32,6
2021-01-31,29,38,9
2021-02-01,19,26,7
2021-02-02,30,36,6
2021-02-03,26,33,7
2021-02-04,25,34,9
2021-02-05,23,32,9
2021-02-06,18,23,5
2021-02-07,38,47,9
2021-02-08,34,36,2
2021-02-09,15,17,2
2021-02-10,22,29,7
2021-02-11,33,40,7
2021-02-12,13,23,10
2021-02-13,23,27,4
2021-02-14,29,42,13
2021-02-15,22,25,3
2021-02-16,27,31,4
2021-02-17,19,22,3
2021-02-18,16,21,5
2021-02-19,21,23,2
2021-02-20,14,26,12
2021-02-21,19,31,12
2021-02-22,27,30,3
2021-02-23,30,36,6
2021-02-24,17,27,10
2021-02-25,10,14,4
2021-02-26,16,18,2
2021-02-27,19,22,3
2021-02-28,28,34,6
2021-03-01,26,34,8
2021-03-02,15,17,2
2021-03-03,21,26,5
2021-03-04,14,22,8
2021-03-05,23,29,6
2021-03-06,13,13,0
2021-03-07,26,31,5
2021-03-08,13,16,3
2021-03-09,23,27,4
2021-03-10,13,18,5
2021-03-11,14,16,2
2021-03-12,21,27,6
2021-03-13,14,21,7
2021-03-14,18,30,12
2021-03-15,16,24,8
2021-03-16,30,43,13
2021-03-17,32,42,10
2021-03-18,23,26,3
2021-03-19,13,18,5
2021-03-20,22,25,3
2021-03-21,20,25,5
2021-03-22,16,24,8
2021-03-23,12,19,7
2021-03-24,29,37,8
2021-03-25,11,14,3
2021-03-26,15,23,8
2021-03-27,16,23,7
2021-03-28,12,21,9
2021-03-29,12,14,2
2021-03-30,6,10,4
2021-03-31,16,20,4
2021-04-01,19,25,6
2021-04-02,29,30,1
2021-04-03,26,30,4
2021-04-04,18,19,1
2021-04-05,23,29,6
2021-04-06,15,18,3
2021-04-07,23,30,7
2021-04-08,16,20,4
2021-04-09,15,15,0
2021-04-10,19,19,0
