Date,Net Clicks,Install Clicks,Uninstall Clicks
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0,0,0
2020-10-08,0,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,0,0
2020-10-13,0,0,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0,0,0
2020-10-22,0,0,0
2020-10-23,0,0,0
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,0,0,0
2020-10-27,0,0,0
2020-10-28,0,0,0
2020-10-29,0,0,0
2020-10-30,0,0,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,0,0,0
2020-11-04,0,0,0
2020-11-05,0,0,0
2020-11-06,0,0,0
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,0,0,0
2020-11-10,0,0,0
2020-11-11,0,0,0
2020-11-12,0,0,0
2020-11-13,0,0,0
2020-11-14,0,0,0
2020-11-15,0,0,0
2020-11-16,5,5,0
2020-11-17,7,7,0
2020-11-18,15,15,0
2020-11-19,10,10,0
2020-11-20,10,10,0
2020-11-21,8,8,0
2020-11-22,7,7,0
2020-11-23,8,8,0
2020-11-24,14,14,0
2020-11-25,13,13,0
2020-11-26,12,12,0
2020-11-27,5,5,0
2020-11-28,13,13,0
2020-11-29,14,14,0
2020-11-30,13,13,0
2020-12-01,7,7,0
2020-12-02,7,7,0
2020-12-03,15,15,0
2020-12-04,17,17,0
2020-12-05,25,25,0
2020-12-06,17,17,0
2020-12-07,10,10,0
2020-12-08,14,14,0
2020-12-09,15,15,0
2020-12-10,11,11,0
2020-12-11,14,14,0
2020-12-12,13,13,0
2020-12-13,18,18,0
2020-12-14,11,11,0
2020-12-15,11,11,0
2020-12-16,13,13,0
2020-12-17,14,14,0
2020-12-18,9,9,0
2020-12-19,11,11,0
2020-12-20,15,15,0
2020-12-21,13,13,0
2020-12-22,15,15,0
2020-12-23,19,19,0
2020-12-24,21,21,0
2020-12-25,22,22,0
2020-12-26,34,34,0
2020-12-27,30,30,0
2020-12-28,17,18,1
2020-12-29,23,26,3
2020-12-30,12,14,2
2020-12-31,14,15,1
2021-01-01,15,16,1
2021-01-02,14,14,0
2021-01-03,11,14,3
2021-01-04,20,20,0
2021-01-05,8,12,4
2021-01-06,13,16,3
2021-01-07,17,17,0
2021-01-08,18,18,0
2021-01-09,21,22,1
2021-01-10,14,17,3
2021-01-11,10,12,2
2021-01-12,16,18,2
2021-01-13,25,25,0
2021-01-14,31,34,3
2021-01-15,24,25,1
2021-01-16,22,28,6
2021-01-17,22,23,1
2021-01-18,15,17,2
2021-01-19,28,30,2
2021-01-20,16,17,1
2021-01-21,18,20,2
2021-01-22,26,29,3
2021-01-23,17,18,1
2021-01-24,18,20,2
2021-01-25,28,28,0
2021-01-26,11,12,1
2021-01-27,20,21,1
2021-01-28,10,11,1
2021-01-29,19,19,0
2021-01-30,25,26,1
2021-01-31,22,22,0
2021-02-01,17,19,2
2021-02-02,18,18,0
2021-02-03,19,20,1
2021-02-04,10,15,5
2021-02-05,15,18,3
2021-02-06,19,24,5
2021-02-07,18,23,5
2021-02-08,19,21,2
2021-02-09,17,18,1
2021-02-10,10,15,5
2021-02-11,21,23,2
2021-02-12,10,13,3
2021-02-13,15,16,1
2021-02-14,20,25,5
2021-02-15,14,16,2
2021-02-16,16,19,3
2021-02-17,12,12,0
2021-02-18,20,22,2
2021-02-19,16,22,6
2021-02-20,17,21,4
2021-02-21,17,20,3
2021-02-22,5,12,7
2021-02-23,15,17,2
2021-02-24,15,16,1
2021-02-25,11,14,3
2021-02-26,12,14,2
2021-02-27,11,13,2
2021-02-28,15,17,2
2021-03-01,6,10,4
2021-03-02,6,10,4
2021-03-03,12,17,5
2021-03-04,6,13,7
2021-03-05,7,28,21
2021-03-06,16,17,1
2021-03-07,21,24,3
2021-03-08,17,17,0
2021-03-09,13,17,4
2021-03-10,8,11,3
2021-03-11,20,21,1
2021-03-12,15,17,2
2021-03-13,13,13,0
2021-03-14,17,20,3
2021-03-15,19,20,1
2021-03-16,25,27,2
2021-03-17,15,16,1
2021-03-18,18,18,0
2021-03-19,7,8,1
2021-03-20,16,18,2
2021-03-21,20,25,5
2021-03-22,12,14,2
2021-03-23,9,12,3
2021-03-24,19,20,1
2021-03-25,14,15,1
2021-03-26,18,21,3
2021-03-27,20,22,2
2021-03-28,13,13,0
2021-03-29,10,11,1
2021-03-30,3,6,3
2021-03-31,10,17,7
2021-04-01,20,24,4
2021-04-02,23,25,2
2021-04-03,8,8,0
2021-04-04,9,14,5
2021-04-05,10,11,1
2021-04-06,12,13,1
2021-04-07,10,13,3
2021-04-08,10,13,3
2021-04-09,15,19,4
2021-04-10,13,13,0
