Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-09-22,0,0,0,0
2020-09-23,0,0,0,0
2020-09-24,0,0,0,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,0,0,0
2020-09-28,0,0,0,0
2020-09-29,0,0,0,0
2020-09-30,0,0,0,0
2020-10-01,0,0,0,0
2020-10-02,0,0,0,0
2020-10-03,0,0,0,0
2020-10-04,0,0,0,0
2020-10-05,0,0,0,0
2020-10-06,0,0,0,0
2020-10-07,0,0,0,0
2020-10-08,0,0,0,0
2020-10-09,0,0,0,0
2020-10-10,0,0,0,0
2020-10-11,0,0,0,0
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,0,0,0,0
2020-10-16,0,0,0,0
2020-10-17,0,0,0,0
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,0,0,0,0
2020-10-23,1,1,0,0
2020-10-24,27,27,0,0
2020-10-25,35,35,0,0
2020-10-26,15,15,0,0
2020-10-27,34,34,0,0
2020-10-28,10,10,0,0
2020-10-29,53,53,0,0
2020-10-30,32,32,0,0
2020-10-31,9,9,0,0
2020-11-01,18,18,0,0
2020-11-02,9,9,0,0
2020-11-03,9,9,0,0
2020-11-04,14,14,0,0
2020-11-05,11,11,0,0
2020-11-06,23,23,0,0
2020-11-07,23,23,0,0
2020-11-08,33,33,0,0
2020-11-09,25,25,0,0
2020-11-10,21,21,0,0
2020-11-11,18,18,0,0
2020-11-12,17,17,0,0
2020-11-13,21,21,0,0
2020-11-14,19,19,0,0
2020-11-15,19,19,0,0
2020-11-16,18,18,0,0
2020-11-17,20,20,0,0
2020-11-18,18,18,0,0
2020-11-19,14,14,0,0
2020-11-20,19,19,0,0
2020-11-21,20,20,0,0
2020-11-22,17,17,0,0
2020-11-23,16,16,0,0
2020-11-24,21,21,0,0
2020-11-25,20,20,0,0
2020-11-26,25,25,0,0
2020-11-27,18,18,0,0
2020-11-28,26,26,0,0
2020-11-29,31,31,0,0
2020-11-30,26,26,0,0
2020-12-01,23,23,0,0
