Date,Net Clicks,Install Clicks,Uninstall Clicks
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0,0,0
2020-10-08,0,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,0,0
2020-10-13,0,0,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0,0,0
2020-10-22,0,0,0
2020-10-23,1,1,0
2020-10-24,27,27,0
2020-10-25,32,32,0
2020-10-26,63,63,0
2020-10-27,66,66,0
2020-10-28,17,17,0
2020-10-29,29,29,0
2020-10-30,19,19,0
2020-10-31,23,23,0
2020-11-01,24,24,0
2020-11-02,23,23,0
2020-11-03,35,35,0
2020-11-04,33,33,0
2020-11-05,32,32,0
2020-11-06,39,39,0
2020-11-07,45,45,0
2020-11-08,34,34,0
2020-11-09,38,38,0
2020-11-10,39,39,0
2020-11-11,31,31,0
2020-11-12,36,36,0
2020-11-13,31,31,0
2020-11-14,65,65,0
2020-11-15,35,35,0
2020-11-16,58,58,0
2020-11-17,116,116,0
2020-11-18,74,74,0
2020-11-19,77,77,0
2020-11-20,41,41,0
2020-11-21,49,49,0
2020-11-22,43,43,0
2020-11-23,49,49,0
2020-11-24,45,45,0
2020-11-25,73,73,0
2020-11-26,90,90,0
2020-11-27,59,59,0
2020-11-28,61,61,0
2020-11-29,70,70,0
2020-11-30,67,67,0
2020-12-01,39,39,0
2020-12-02,40,40,0
2020-12-03,29,29,0
2020-12-04,51,51,0
2020-12-05,75,75,0
2020-12-06,82,82,0
2020-12-07,58,58,0
2020-12-08,78,78,0
2020-12-09,53,53,0
2020-12-10,70,70,0
2020-12-11,64,64,0
2020-12-12,64,64,0
2020-12-13,63,63,0
2020-12-14,46,46,0
2020-12-15,37,37,0
2020-12-16,33,33,0
2020-12-17,53,53,0
2020-12-18,29,29,0
2020-12-19,59,59,0
2020-12-20,60,60,0
2020-12-21,53,53,0
2020-12-22,42,42,0
2020-12-23,58,58,0
2020-12-24,61,61,0
2020-12-25,91,91,0
2020-12-26,77,77,0
2020-12-27,77,77,0
2020-12-28,73,74,1
2020-12-29,52,62,10
2020-12-30,45,56,11
2020-12-31,67,84,17
2021-01-01,53,67,14
2021-01-02,58,76,18
2021-01-03,50,75,25
2021-01-04,55,130,75
2021-01-05,42,96,54
2021-01-06,45,84,39
2021-01-07,45,91,46
2021-01-08,51,78,27
2021-01-09,82,100,18
2021-01-10,55,77,22
2021-01-11,42,63,21
2021-01-12,45,63,18
2021-01-13,60,88,28
2021-01-14,61,75,14
2021-01-15,59,87,28
2021-01-16,51,74,23
2021-01-17,46,67,21
2021-01-18,38,58,20
2021-01-19,33,51,18
2021-01-20,57,77,20
2021-01-21,53,63,10
2021-01-22,59,72,13
2021-01-23,51,60,9
2021-01-24,54,88,34
2021-01-25,63,80,17
2021-01-26,54,62,8
2021-01-27,55,67,12
2021-01-28,66,74,8
2021-01-29,46,65,19
2021-01-30,53,62,9
2021-01-31,37,48,11
2021-02-01,41,49,8
2021-02-02,53,63,10
2021-02-03,47,53,6
2021-02-04,46,53,7
2021-02-05,57,75,18
2021-02-06,46,53,7
2021-02-07,49,62,13
2021-02-08,53,61,8
2021-02-09,43,49,6
2021-02-10,31,41,10
2021-02-11,47,58,11
2021-02-12,37,47,10
2021-02-13,49,59,10
2021-02-14,58,72,14
2021-02-15,56,63,7
2021-02-16,55,70,15
2021-02-17,46,61,15
2021-02-18,51,64,13
2021-02-19,28,35,7
2021-02-20,53,63,10
2021-02-21,60,79,19
2021-02-22,44,47,3
2021-02-23,50,59,9
2021-02-24,42,51,9
2021-02-25,29,40,11
2021-02-26,28,38,10
2021-02-27,27,36,9
2021-02-28,57,66,9
2021-03-01,39,54,15
2021-03-02,50,59,9
2021-03-03,50,55,5
2021-03-04,29,40,11
2021-03-05,34,43,9
2021-03-06,29,45,16
2021-03-07,45,60,15
2021-03-08,39,43,4
2021-03-09,46,54,8
2021-03-10,35,44,9
2021-03-11,47,57,10
2021-03-12,38,47,9
2021-03-13,33,48,15
2021-03-14,36,49,13
2021-03-15,43,57,14
2021-03-16,53,95,42
2021-03-17,30,166,136
2021-03-18,44,136,92
2021-03-19,41,110,69
2021-03-20,41,88,47
2021-03-21,32,86,54
2021-03-22,47,79,32
2021-03-23,41,52,11
2021-03-24,44,69,25
2021-03-25,50,66,16
2021-03-26,36,59,23
2021-03-27,36,56,20
2021-03-28,30,43,13
2021-03-29,12,25,13
2021-03-30,19,30,11
2021-03-31,47,70,23
2021-04-01,48,58,10
2021-04-02,33,44,11
2021-04-03,36,43,7
2021-04-04,40,61,21
2021-04-05,21,28,7
2021-04-06,38,53,15
2021-04-07,43,52,9
2021-04-08,34,45,11
2021-04-09,47,61,14
2021-04-10,44,60,16
